PR,MAC,IRI
6.151111111,1.304444444,1.506666667
6.442222222,1.372222222,1.594444444
6.824444444,1.436666667,1.685555556
6.955555556,1.476666667,1.611111111
6.782222222,1.505555556,1.765555556
7.706666667,1.563333333,1.761111111
7.788888889,1.592222222,1.82
8.205555556,1.607777778,1.932222222
6.84,1.601111111,1.994444444
7.923333333,1.592222222,2.291111111
8.828888889,1.587777778,2.452222222
8.713333333,1.576666667,2.441111111
9.381111111,1.57,2.828888889
9.95,1.592222222,2.883333333
9.967777778,1.58,2.88
11.72,1.618888889,3.55
12.40222222,1.633333333,3.466666667
11.85444444,1.66,3.363333333
11.15666667,1.672222222,3.105555556
10.01666667,1.683333333,2.926666667
11.19555556,1.698888889,2.868888889
11.52444444,1.736666667,3.154444444
10.95111111,1.783333333,3.056666667
10.59555556,1.795555556,3.685555556
9.89,1.722222222,3.902222222
10.22333333,1.698888889,4.307777778
10.55222222,1.673333333,4.363333333
10.49888889,1.646666667,4.412222222
10.71777778,1.64,4.432222222
10.41333333,1.673333333,4.493333333
9.97,1.658888889,3.906666667
10.27222222,1.624444444,3.885555556
10.52333333,1.73,3.387777778
11.52777778,1.885555556,2.986666667
11.14888889,1.936666667,2.863333333
10.45333333,1.915555556,2.85
10.24777778,1.92,2.754444444
9.922222222,1.902222222,2.753333333
8.953333333,1.815555556,2.677777778
9.117777778,1.83,2.656666667
9.177777778,1.818888889,2.591111111
8.826666667,1.714444444,2.565555556
7.034444444,1.623333333,2.184444444
5.978888889,1.624444444,1.952222222
6.321111111,1.642222222,2.028888889
6.91,1.716666667,2.411111111
7.817777778,1.724444444,3.243333333
8.087777778,1.724444444,3.608888889
7.813333333,1.653333333,3.676666667
7.553333333,1.588888889,3.785555556
7.076666667,1.506666667,3.718888889
6.921111111,1.404444444,3.692222222
7.224444444,1.293333333,3.807777778
7.307777778,1.195555556,3.648888889
6.825555556,1.051111111,3.327777778
6.361111111,0.971111111,2.603333333
6.933333333,0.946666667,2.807777778
6.388888889,0.925555556,3.83
6.762222222,0.924444444,4.513333333
7.351111111,0.925555556,4.472222222
7.424444444,0.924444444,4.426666667
8.02,0.91,4.347777778
7.541111111,0.893333333,4.425555556
7.542222222,0.87,4.45
7.227777778,0.848888889,4.44
7.275555556,0.806666667,3.92
8.454444444,0.761111111,3.013333333
8.867777778,0.708888889,2.503333333
8.723333333,0.718888889,3.265555556
8.75,0.764444444,4.172222222
8.103333333,0.836666667,4.29
8.226666667,0.915555556,4.267777778
8.182222222,1.003333333,4.237777778
8.19,1.087777778,4.153333333
7.483333333,1.174444444,4.19
7.255555556,1.317777778,4.08
6.978888889,1.461111111,4.034444444
6.885555556,1.577777778,3.365555556
6.845555556,1.632222222,2.453333333
8.682222222,1.665555556,2.45
8.685555556,1.686666667,2.52
8.602222222,1.711111111,2.606666667
8.758888889,1.748888889,2.774444444
9.63,1.712222222,3.774444444
10.86666667,1.663333333,4.538888889
11.15555556,1.59,4.446666667
11.04888889,1.472222222,4.4
11.10444444,1.374444444,4.488888889
9.381111111,1.292222222,4.361111111
10.11,1.236666667,4.397777778
10.69222222,1.157777778,4.305555556
10.86888889,1.066666667,4.294444444
10.53888889,1.054444444,3.553333333
9.163333333,1.011111111,3.005555556
8.651111111,0.993333333,4.002222222
9.545555556,1.007777778,5.101111111
9.685555556,1.073333333,5.474444444
9.566666667,1.111111111,5.491111111
9.97,1.15,5.466666667
9.647777778,1.175555556,5.633333333
9.301111111,1.206666667,5.61
8.456666667,1.241111111,5.281111111
8.232222222,1.255555556,4.954444444
8.31,1.293333333,3.851111111
7.373333333,1.294444444,2.77
7.242222222,1.291111111,2.411111111
7.313333333,1.381111111,3.212222222
6.503333333,1.413333333,3.863333333
6.474444444,1.477777778,3.662222222
6.487777778,1.534444444,3.527777778
6.538888889,1.564444444,3.534444444
6.578888889,1.571111111,3.582222222
6.731111111,1.587777778,3.723333333
6.756666667,1.657777778,3.685555556
6.672222222,1.684444444,3.516666667
6.471111111,1.603333333,2.637777778
6.575555556,1.608888889,1.886666667
7.898888889,1.617777778,2.816666667
8.887777778,1.614444444,3.85
8.904444444,1.603333333,4.084444444
8.487777778,1.588888889,4.05
8.042222222,1.531111111,3.841111111
8.087777778,1.448888889,3.842222222
7.981111111,1.375555556,4.034444444
8.118888889,1.326666667,4.206666667
8.12,1.261111111,4.127777778
7.805555556,1.205555556,3.712222222
6.753333333,1.221111111,3.342222222
6.95,1.188888889,3.596666667
6.886666667,1.194444444,3.618888889
6.984444444,1.198888889,3.687777778
7.085555556,1.196666667,3.75
7.394444444,1.186666667,3.59
7.188888889,1.17,3.49
7.963333333,1.153333333,3.6
7.045555556,1.11,3.305555556
7.134444444,1.043333333,2.785555556
6.958888889,1.056666667,2.42
7.247777778,1.063333333,2.401111111
7.267777778,1.066666667,2.424444444
7.357777778,1.063333333,2.362222222
7.163333333,1.056666667,2.528888889
7.154444444,1.064444444,2.523333333
5.964444444,1.067777778,2.492222222
5.911111111,1.067777778,2.294444444
5.643333333,1.021111111,2.187777778
5.503333333,0.985555556,2.08
5.662222222,0.966666667,2.098888889
6.058888889,0.981111111,2.167777778
5.705555556,1.017777778,2.315555556
5.428888889,1.061111111,2.196666667
5.325555556,1.076666667,2.095555556
5.298888889,1.068888889,2.008888889
5.194444444,1.088888889,2.051111111
5.156666667,1.11,2.025555556
5.031111111,1.124444444,2.042222222
4.537777778,1.128888889,2.014444444
3.768888889,1.12,1.921111111
3.678888889,1.097777778,1.885555556
3.856666667,1.163333333,1.87
4.942222222,1.255555556,1.935555556
6.906666667,1.362222222,2.101111111
7.454444444,1.486666667,2.187777778
8.243333333,1.591111111,2.251111111
8.573333333,1.663333333,2.202222222
9.203333333,1.74,2.342222222
9.807777778,1.782222222,2.338888889
10.59555556,1.826666667,2.284444444
11.12,1.772222222,2.441111111
10.45222222,1.737777778,2.466666667
9.037777778,1.69,2.361111111
9.227777778,1.586666667,2.371111111
9.831111111,1.581111111,2.422222222
11.00666667,1.686666667,2.813333333
11.85333333,1.76,2.845555556
12.14888889,1.836666667,2.895555556
11.52222222,1.861111111,2.94
11.50444444,1.91,2.821111111
12.45777778,1.983333333,2.75
13.02777778,2.062222222,2.907777778
12.94444444,2.123333333,2.85
12.17777778,2.056666667,2.844444444
11.69888889,1.961111111,2.476666667
12.46777778,1.874444444,2.344444444
13.30777778,1.817777778,2.527777778
15.58333333,1.773333333,2.603333333
15.97333333,1.701111111,2.624444444
15.80111111,1.581111111,2.756666667
14.83666667,1.434444444,2.7
14.95444444,1.32,2.752222222
14.89,1.288888889,2.815555556
14.11222222,1.213333333,2.922222222
12.55888889,1.154444444,2.902222222
13.16888889,1.143333333,2.812222222
11.23666667,1.261111111,2.908888889
11.20555556,1.285555556,3.378888889
10.48666667,1.268888889,3.448888889
12.18333333,1.287777778,3.456666667
11.74,1.311111111,3.415555556
12.36333333,1.392222222,3.598888889
13.15,1.408888889,4.015555556
12.54,1.372222222,4.085555556
10.27555556,1.285555556,3.913333333
10.26333333,1.17,4.042222222
9.846666667,1.164444444,3.771111111
10.74333333,1.207777778,3.926666667
10.89222222,1.24,3.991111111
12.29777778,1.283333333,4.182222222
12.12666667,1.251111111,3.912222222
12.17111111,1.275555556,3.514444444
14.12444444,1.374444444,3.581111111
15.32333333,1.476666667,4.022222222
16.34777778,1.478888889,4.047777778
17.27,1.541111111,4.005555556
17.08222222,1.57,3.787777778
16.05222222,1.582222222,3.738888889
15.59888889,1.568888889,3.658888889
15.91888889,1.565555556,4.081111111
15.36777778,1.576666667,4.277777778
13.54666667,1.535555556,4.188888889
13.96666667,1.526666667,4.001111111
12.95888889,1.533333333,3.612222222
12.65,1.473333333,3.476666667
12.10333333,1.414444444,3.424444444
11.44666667,1.38,3.414444444
10.19333333,1.365555556,3.2
9.403333333,1.375555556,2.737777778
9.642222222,1.34,2.4
9.651111111,1.333333333,2.29
8.346666667,1.282222222,2.127777778
7.913333333,1.242222222,2.042222222
7.075555556,1.214444444,1.934444444
7.035555556,1.207777778,1.91
7.19,1.221111111,1.731111111
7.378888889,1.224444444,1.656666667
7.442222222,1.183333333,1.668888889
7.172222222,1.167777778,1.782222222
7.291111111,1.162222222,1.916666667
7.368888889,1.163333333,1.832222222
7.966666667,1.198888889,1.853333333
7.897777778,1.268888889,1.81
8.653333333,1.207777778,3.084444444
9.135555556,1.266666667,3.246666667
9.937777778,1.304444444,3.477777778
10.02777778,1.35,3.445555556
9.914444444,1.401111111,3.312222222
11.35,1.448888889,3.302222222
11.28222222,1.473333333,3.281111111
10.96222222,1.461111111,3.28
10.95444444,1.408888889,3.255555556
9.987777778,1.491111111,1.896666667
9.232222222,1.433333333,1.753333333
8.311111111,1.426666667,1.55
8.368888889,1.46,1.474444444
10.91111111,1.495555556,1.583333333
9.311111111,1.51,1.501111111
9.47,1.552222222,1.582222222
9.633333333,1.572222222,1.526666667
10.00111111,1.606666667,1.686666667
9.694444444,1.622222222,1.667777778
9.764444444,1.647777778,1.624444444
9.676666667,1.62,1.598888889
9.42,1.566666667,1.604444444
6.674444444,1.503333333,1.546666667
6.765555556,1.454444444,1.503333333
7.432222222,1.42,1.562222222
7.492222222,1.418888889,1.698888889
7.103333333,1.442222222,1.593333333
7.927777778,1.56,1.744444444
8.333333333,1.628888889,3.208888889
8.58,1.692222222,3.325555556
8.561111111,1.72,3.333333333
